"img-link href","photo-count","list-view-price","list-view-date","left","celly","celly 2","celly 3","celly 4","eids-badge__description","he-lazy-image src","eids-badge__label","list-view-header","list-view-location","img-wrp href","he-lazy-image src 2","listing-card--owner-info__firm-name","he-lazy-image src 3"
"https://www.hepsiemlak.com/istanbul-kagithane-sirintepe-kiralik/daire/48256-1671","19","21.000","12-03-2025","Kiralık Daire","1 +
                          1","65 m²","15
                        Yaşında","Yüksek Giriş","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Şirintepede Okulun Hemen Arka Sokağında Kiralık Geniş 1+1 Daire","İstanbul / Kağıthane / Şirintepe Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/1/5/6/8/1/3/4/4/09ddd003-5c40-40e6-8db3-68d782e5b905.jpg","",""
"https://www.hepsiemlak.com/istanbul-maltepe-zumrutevler-kiralik/daire/2137-27709","38","45.000","21-04-2025","Kiralık Daire","3 +
                          1","140 m²","11
                        Yaşında","1. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Zümrütevler Mercan Sokak'ta Kiralık 135m2 3+1 Daire","İstanbul / Maltepe / Zümrütevler Mah.","https://www.hepsiemlak.com/emlak-ofisi/remax-yildiz-2137","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/0/3/1/0/2/4/4/414591ea-edcc-4e54-b9ec-2cf1215662a0.jpg","Remax Yıldız","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/7/3/1/2/0/0/c6937f24-6fb9-4e21-88d8-ef8ea80d25c2.jpg"
"https://www.hepsiemlak.com/istanbul-sisli-inonu-kiralik/daire/81759-2567","57","45.000","15-02-2025","Kiralık Daire","1 +
                          1","84 m²","12
                        Yaşında","6. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Cozy Flat For Rent At The Heart Of The Cıty 1+1","İstanbul / Şişli / İnönü Mah.","https://www.hepsiemlak.com/emlak-ofisi/nokta-emlak-gayrimenkul-81759/ilker-gursoy-2333691","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/0/9/1/1/9/1/4/4/1739537252668-44191190.jpg","Nokta Emlak Gayrimenkul","https://www.hepsiemlak.com/_nuxt/img/no-image-user.6f6a83e.svg"
"https://www.hepsiemlak.com/istanbul-sisli-gulbahar-kiralik/daire/95585-3687","20","25.000","28-04-2025","Kiralık Daire","1 +
                          1","55 m²","8
                        Yaşında","Giriş Katı","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Lüx Sıfır Eşyalı 1+1 Daıre,,,Rent Home,,اجاره یکخواب با اشیا صفر","İstanbul / Şişli / Gülbahar Mah.","https://www.hepsiemlak.com/emlak-ofisi/paranin-merkezi-gayrimenkul-95585","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/8/9/3/6/7/4/4/4/4af17637-eca2-44a9-be27-d8c76d47df3d.jpg","Paranın Merkezi Gayrimenkul","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/5/8/5/5/9/0/ae12bc82-4e5f-458a-a2f5-53c3afa6e072.jpg"
"https://www.hepsiemlak.com/istanbul-basaksehir-altinsehir-kiralik/daire/123596-238","32","12.000","19-04-2025","Kiralık Daire","2 +
                          1","90 m²","3
                        Yaşında","Bahçe Katı","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Başakşehir Altınşehir Mahallesinde 2+1 Kiralık Bahçe Kati","İstanbul / Başakşehir / Altınşehir Mah.","https://www.hepsiemlak.com/emlak-ofisi/suura-yapi-gayrimenkul-123596/umud-huseyin-ercetin-2903577","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/4/7/0/1/6/2/4/4/b78ff9e3-e95d-4b45-aee7-975defe4fe39.jpg","Şuura Yapı Gayrimenkul","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/7/7/5/3/0/9/2/a8dd5123-b423-4ad1-a562-974bbe26d9a7.jpg"
"https://www.hepsiemlak.com/istanbul-beyoglu-gumussuyu-kiralik/daire/1361-17314","24","100.000","02-05-2025","Kiralık Daire","2 +
                          1","90 m²","5
                        Yaşında","5. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Konut Realty | Gümüşsuyu'nda Teraslı Manzaralı Mobilyalı Daire","İstanbul / Beyoğlu / Gümüşsuyu Mah.","https://www.hepsiemlak.com/emlak-ofisi/konut-realty-1361/alper-bircan-1361","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/3/8/5/9/3/3/4/ea11167e-89dd-447a-8524-c745a9e12338.jpg","Konut Realty","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/1/6/3/1/0/0/3704b44e-4370-43df-9a1c-cb7e6447a9b1.jpg"
"https://www.hepsiemlak.com/istanbul-beyoglu-katip-mustafa-celebi-kiralik/daire/1863-1681","17","24.000","03-05-2025","Kiralık Daire","2 +
                          1","70 m²","60
                        Yaşında","2. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","İstiklal Caddesine 1 Dakika Yürüme Mesafesinde 2. Kat 2 Oda 1 Salon","İstanbul / Beyoğlu / Katip Mustafa Çelebi Mah.","https://www.hepsiemlak.com/emlak-ofisi/sahin-emlak-1863","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/2/6/6/6/3/2/4/4/c9848164-77a7-434d-8027-1c84525757bc.jpg","Şahin Emlak","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/3/6/8/1/0/0/308079f1-233f-4f87-9108-f823a6a2b00d.jpg"
"https://www.hepsiemlak.com/istanbul-uskudar-cumhuriyet-kiralik/daire/120150-3321","17","26.000","08-05-2025","Kiralık Daire","1 +
                          1","60 m²","28
                        Yaşında","Yüksek Giriş","","","","F-L Emlaktan Metroya 5 Dakika Full Eşyalı 1+1 Yüksek Giriş","İstanbul / Üsküdar / Cumhuriyet Mah.","https://www.hepsiemlak.com/emlak-ofisi/f-l-emlak-120150","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/4/2/2/8/1/5/4/4/1745404051988-44518224.jpg","F-l Emlak","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/0/5/1/0/2/1/fc97d3f0-ca43-44a8-9e06-6fbd2ab208e0.jpg"
"https://www.hepsiemlak.com/istanbul-uskudar-bulgurlu-kiralik/daire/134985-1469","35","25.900","04-03-2025","Kiralık Daire","3 +
                          1","110 m²","25
                        Yaşında","Yüksek Giriş","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Üsküdar Bulgurlu Metro Yakını Genış 3+1 Kıralık Daıre","İstanbul / Üsküdar / Bulgurlu Mah.","https://www.hepsiemlak.com/emlak-ofisi/remax-masal-134985","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/1/4/1/6/8/1/4/4/44325145-f18b-4add-9ee3-f4816cefc8f5.jpg","Remax Masal","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/5/8/9/4/3/1/96a6bbe9-4b57-43d7-ad74-e9c26fcc8567.jpg"
"https://www.hepsiemlak.com/istanbul-kucukcekmece-kanarya-kiralik/daire/116427-566","12","15.000","25-03-2025","Kiralık Daire","3 +
                          1","120 m²","26
                        Yaşında","1. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Küçükçekmece Kanarya Mh De Kiralık Daire Marmaraya Yakın","İstanbul / Küçükçekmece / Kanarya Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/5/0/1/0/7/0/4/4/1737391663-150363-44070105.jpeg","",""
