city,district,neighborhood,room,living_room,area,age,floor,price,area_per_room
istanbul,uskudar,cumhuriyet,2,1,80,20,0,20000,26
istanbul,esenyurt,necip_fazil_kisakurek,2,1,110,4,-2,15000,36
istanbul,gaziosmanpasa,sarigol,3,1,135,27,4,35000,33
istanbul,sariyer,cumhuriyet,2,1,150,29,2,45000,50
istanbul,kagithane,ortabayir,1,1,53,10,7,28000,26
istanbul,eyupsultan,gokturk_merkez,1,1,90,15,2,60000,45
istanbul,uskudar,valide_i_atik,2,1,80,30,3,29000,26
istanbul,bakirkoy,kartaltepe,3,1,120,35,3,32000,30
istanbul,kartal,hurriyet,2,1,85,16,1,19000,28
istanbul,kadikoy,merdivenkoy,2,1,85,50,2,35000,28
istanbul,besiktas,abbasaga,2,1,95,7,-1,35000,31
istanbul,bahcelievler,siyavuspasa,1,1,55,1,-2,25000,27
istanbul,kagithane,ortabayir,2,1,100,30,4,25000,33
istanbul,esenyurt,talatpasa,2,1,110,7,1,16000,36
istanbul,sisli,mecidiyekoy,2,1,80,7,4,27000,26
istanbul,bahcelievler,siyavuspasa,3,1,110,30,5,17000,27
istanbul,beylikduzu,gurpinar,3,1,115,25,3,20000,28
istanbul,uskudar,ferah,2,1,80,10,1,35000,26
istanbul,avcilar,universite,2,1,100,25,-2,14000,33
istanbul,sariyer,yenikoy,2,1,100,35,3,50000,33
istanbul,kagithane,celiktepe,2,1,85,20,2,24000,28
istanbul,sisli,ferikoy,3,1,120,30,2,35000,30
istanbul,uskudar,valide_i_atik,2,1,95,42,0,24000,31
istanbul,uskudar,bulgurlu,3,1,105,30,2,30000,26
istanbul,bahcelievler,bahcelievler,2,1,90,5,1,55000,30
istanbul,beyoglu,omer_avni,2,1,110,5,1,70000,36
istanbul,sisli,gulbahar,2,1,92,28,3,23000,30
istanbul,besiktas,yildiz,1,1,70,35,-2,25000,35
istanbul,sisli,kustepe,1,1,70,20,-3,20000,35
istanbul,sariyer,buyukdere,2,1,95,26,1,40000,31
istanbul,besiktas,mecidiye,2,1,85,26,2,29000,28
istanbul,kagithane,emniyet_evleri,1,1,70,30,2,25000,35
istanbul,sisli,gulbahar,2,1,90,18,5,27000,30
istanbul,besiktas,dikilitas,1,1,80,1,2,50000,40
istanbul,atasehir,inonu,1,1,70,16,3,24500,35
istanbul,sisli,pasa,2,1,80,12,-3,18000,26
istanbul,kadikoy,fenerbahce,2,1,100,30,2,55000,33
istanbul,beylikduzu,dereagzi,2,1,95,7,2,25000,31
istanbul,beyoglu,omer_avni,3,1,110,31,2,44000,27
istanbul,maltepe,findikli,1,1,65,8,4,19000,32
istanbul,fatih,sumbul_efendi,2,1,85,45,2,28000,28
istanbul,kagithane,emniyet_evleri,2,1,100,35,0,30000,33
istanbul,kagithane,emniyet_evleri,2,1,65,35,1,22500,21
istanbul,kagithane,ortabayir,1,1,50,26,6,24000,25
istanbul,kadikoy,caferaga,3,1,95,40,3,39000,23
istanbul,besiktas,ortakoy,2,1,100,35,4,35000,33
istanbul,fatih,dervis_ali,1,1,65,40,2,14000,32
istanbul,beylikduzu,yakuplu,2,1,75,10,1,17000,25
istanbul,kagithane,sultan_selim,1,1,90,20,2,23000,45
istanbul,kagithane,celiktepe,1,1,55,26,3,13500,27
istanbul,beyoglu,katip_mustafa_celebi,1,1,50,30,2,30000,25
istanbul,sariyer,cumhuriyet,2,1,125,30,2,32000,41
istanbul,sisli,19_mayis,2,1,85,30,1,26000,28
istanbul,besiktas,mecidiye,1,1,65,45,1,30000,32
istanbul,sisli,pasa,2,1,78,8,3,29000,26
istanbul,sisli,gulbahar,1,1,60,15,4,23500,30
istanbul,beyoglu,omer_avni,2,1,90,31,1,40000,30
istanbul,kagithane,harmantepe,2,1,80,35,0,12000,26
istanbul,sariyer,cumhuriyet,3,1,110,25,2,32000,27
istanbul,kadikoy,merdivenkoy,1,1,69,0,3,45000,34
istanbul,beyoglu,asmali_mescit,1,1,80,30,3,25500,40
istanbul,besiktas,visnezade,3,1,125,35,3,45000,31
istanbul,maltepe,findikli,3,1,125,11,3,32000,31
istanbul,uskudar,murat_reis,2,1,90,28,0,25000,30
istanbul,bakirkoy,kartaltepe,3,1,130,35,3,28000,32
istanbul,uskudar,murat_reis,2,1,109,35,1,32000,36
istanbul,buyukcekmece,fatih,2,1,90,35,3,18000,30
istanbul,sariyer,cumhuriyet,3,1,150,29,2,40000,37
istanbul,beykoz,anadolu_hisari,3,1,145,30,5,55000,36
istanbul,beykoz,yeni_mahalle,2,1,75,30,-2,20000,25
istanbul,eyupsultan,topcular,2,1,90,31,2,23000,30
istanbul,atasehir,kucukbakkalkoy,1,1,80,13,6,37000,40
istanbul,arnavutkoy,deliklikaya,2,1,90,8,0,14500,30
istanbul,maltepe,zumrutevler,2,1,95,25,5,25500,31
istanbul,silivri,yeni,2,1,110,0,3,25000,36
istanbul,sariyer,cumhuriyet,1,1,70,30,0,18000,35
istanbul,beyoglu,kamer_hatun,2,1,65,50,0,15000,21
istanbul,maltepe,findikli,2,1,80,12,5,20000,26
istanbul,gungoren,abdurrahman_nafiz_gurman,1,1,80,10,5,55000,40
istanbul,sisli,gulbahar,1,1,71,22,3,20000,35
istanbul,bahcelievler,zafer,1,1,65,6,-2,17000,32
istanbul,fatih,hirka_i_serif,1,1,65,0,-2,25000,32
istanbul,beyoglu,kuloglu,1,1,100,50,5,45000,50
istanbul,bahcelievler,hurriyet,2,1,80,29,-2,10000,26
istanbul,maltepe,altaycesme,3,1,135,25,2,31000,33
istanbul,sisli,merkez,1,1,60,60,2,22500,30
istanbul,esenyurt,asik_veysel,3,1,139,25,6,26500,34
istanbul,besiktas,kultur,3,1,130,31,-3,57000,32
istanbul,sisli,mesrutiyet,2,1,75,40,2,27500,25
istanbul,sariyer,cumhuriyet,2,1,130,29,-1,18500,43
istanbul,fatih,mevlanakapi,1,1,65,40,3,19000,32
istanbul,beylikduzu,buyuksehir,2,1,75,25,3,19000,25
istanbul,fatih,hirka_i_serif,1,1,65,0,3,30000,32
istanbul,sisli,ergenekon,1,1,40,30,4,14000,20
istanbul,esenyurt,asik_veysel,3,1,139,27,7,23500,34
istanbul,zeytinburnu,kazlicesme,2,1,150,30,5,55000,50
istanbul,sariyer,cumhuriyet,1,1,75,27,4,18000,37
istanbul,bayrampasa,orta,2,1,90,40,7,13000,30
istanbul,esenyurt,mehmet_akif_ersoy,1,1,60,15,0,18000,30
istanbul,sisli,bozkurt,2,1,80,50,-1,25000,26
istanbul,sisli,kustepe,2,1,85,20,2,18000,28
istanbul,zeytinburnu,sumer,2,1,75,30,4,16000,25
istanbul,beyoglu,kamer_hatun,1,1,65,50,3,30000,32
istanbul,esenyurt,yesilkent,2,1,95,16,-2,13000,31
istanbul,cekmekoy,sultanciftligi,1,1,80,3,1,33000,40
istanbul,sisli,eskisehir,3,1,90,0,1,40000,22
istanbul,esenyurt,selahaddin_eyyubi,2,1,85,6,3,13000,28
istanbul,uskudar,guzeltepe,3,1,115,21,1,35000,28
istanbul,cekmekoy,hamidiye,3,1,138,16,3,30000,34
istanbul,maltepe,feyzullah,3,1,125,45,3,30000,31
istanbul,maltepe,idealtepe,3,1,120,35,4,34000,30
istanbul,kartal,yakacik_carsi,1,1,70,10,4,32000,35
istanbul,kagithane,emniyet_evleri,2,1,100,4,2,51000,33
istanbul,bagcilar,15_temmuz,1,1,75,0,1,29990,37
istanbul,kagithane,talatpasa,1,1,80,7,5,23000,40
istanbul,cekmekoy,merkez,2,1,75,3,2,23500,25
istanbul,umraniye,asagi_dudullu,2,1,100,0,1,25000,33
istanbul,kadikoy,sahrayi_cedit,3,1,130,25,3,47000,32
istanbul,pendik,gullu_baglar,1,1,75,5,1,21000,37
istanbul,esenler,fevzi_cakmak,1,1,60,15,-2,15500,30
istanbul,sancaktepe,eyup_sultan,1,1,70,25,3,12000,35
istanbul,eyupsultan,yesilpinar,1,1,65,3,-2,22000,32
istanbul,tuzla,istasyon,2,1,95,11,-2,50000,31
istanbul,sisli,mecidiyekoy,1,1,55,5,0,31000,27
istanbul,fatih,topkapi,3,1,105,40,3,23000,26
istanbul,kucukcekmece,halkali_merkez,2,1,90,5,3,32000,30
istanbul,kadikoy,merdivenkoy,2,1,77,4,6,65000,25
istanbul,kadikoy,bostanci,3,1,135,36,5,52000,33
istanbul,tuzla,istasyon,2,1,93,12,-2,50000,31
istanbul,bakirkoy,yesilkoy,3,1,135,27,3,55000,33
istanbul,besiktas,dikilitas,3,1,110,8,5,62000,27
istanbul,kagithane,emniyet_evleri,2,1,85,10,3,35000,28
istanbul,umraniye,camlik,2,1,90,25,1,20000,30
istanbul,kagithane,telsizler,2,1,60,0,2,38000,20
istanbul,tuzla,cami,3,1,140,25,5,27000,35
istanbul,cekmekoy,sultanciftligi,2,1,95,12,4,25000,31
istanbul,kagithane,harmantepe,2,1,80,5,1,19000,26
istanbul,cekmekoy,catalmese,2,1,85,3,3,22000,28
istanbul,sisli,halide_edip_adivar,1,1,45,21,5,25000,22
istanbul,kagithane,caglayan,2,1,70,5,1,32500,23
istanbul,maltepe,findikli,2,1,125,30,3,20000,41
istanbul,sisli,19_mayis,3,1,120,50,3,41000,30
istanbul,kagithane,hamidiye,2,1,90,13,2,22000,30
istanbul,kadikoy,19_mayis,3,1,140,27,2,56000,35
istanbul,sisli,bozkurt,1,1,60,7,5,27000,30
istanbul,gaziosmanpasa,kazim_karabekir,2,1,105,21,3,20000,35
istanbul,esenyurt,piri_reis,1,1,70,5,6,18500,35
istanbul,sisli,bozkurt,2,1,100,45,-1,25000,33
istanbul,eyupsultan,yesilpinar,2,1,80,11,-2,18500,26
istanbul,kagithane,sirintepe,2,1,100,30,3,22000,33
istanbul,atasehir,icerenkoy,3,1,150,26,2,50000,37
istanbul,besiktas,yildiz,2,1,100,37,5,33000,33
istanbul,kucukcekmece,tevfik_bey,1,1,48,7,3,20000,24
istanbul,kadikoy,merdivenkoy,2,1,80,4,6,50000,26
istanbul,kadikoy,caferaga,2,1,90,50,5,40000,30
istanbul,besiktas,yildiz,1,1,78,9,2,53500,39
istanbul,atasehir,barbaros,1,1,72,18,6,35000,36
istanbul,kagithane,harmantepe,1,1,75,25,3,13000,37
istanbul,bahcelievler,siyavuspasa,2,1,75,35,-2,18500,25
istanbul,kartal,cumhuriyet,2,1,100,22,3,21500,33
istanbul,kagithane,caglayan,1,1,60,8,4,20000,30
istanbul,sisli,gulbahar,2,1,110,25,2,19000,36
istanbul,bakirkoy,sakizagaci,1,1,96,3,1,55000,48
istanbul,kadikoy,19_mayis,3,1,130,35,2,40000,32
